timestamp,asset_id,vibration_rms_mm_s,casing_temp_c
2026-09-25T12:05:00,P-3,2.53,41.9
2026-09-25T12:10:00,P-3,2.94,41.6
2026-09-25T12:15:00,P-3,2.90,41.1
2026-09-25T12:20:00,P-3,2.83,40.8
2026-09-25T12:25:00,P-3,2.77,41.0
2026-09-25T12:30:00,P-3,3.03,41.3
2026-09-25T12:35:00,P-3,2.79,40.7
2026-09-25T12:40:00,P-3,2.70,42.0
2026-09-25T12:45:00,P-3,2.88,41.0
2026-09-25T12:50:00,P-3,2.75,40.3
2026-09-25T12:55:00,P-3,2.79,41.5
2026-09-25T13:00:00,P-3,2.74,40.9
2026-09-25T13:05:00,P-3,2.77,41.1
2026-09-25T13:10:00,P-3,2.56,40.9
2026-09-25T13:15:00,P-3,2.67,41.5
2026-09-25T13:20:00,P-3,2.68,41.3
2026-09-25T13:25:00,P-3,3.03,40.8
2026-09-25T13:30:00,P-3,2.71,41.1
2026-09-25T13:35:00,P-3,2.80,40.4
2026-09-25T13:40:00,P-3,2.87,42.2
2026-09-25T13:45:00,P-3,2.76,40.9
2026-09-25T13:50:00,P-3,2.64,41.2
2026-09-25T13:55:00,P-3,2.61,40.3
2026-09-25T14:00:00,P-3,2.99,40.5
2026-09-25T14:05:00,P-3,2.96,41.9
2026-09-25T14:10:00,P-3,2.84,41.3
2026-09-25T14:15:00,P-3,3.09,40.9
2026-09-25T14:20:00,P-3,2.71,40.2
2026-09-25T14:25:00,P-3,2.81,41.9
2026-09-25T14:30:00,P-3,2.94,40.4
2026-09-25T14:35:00,P-3,2.67,40.7
2026-09-25T14:40:00,P-3,2.84,40.9
2026-09-25T14:45:00,P-3,2.83,41.2
2026-09-25T14:50:00,P-3,2.76,41.0
2026-09-25T14:55:00,P-3,2.83,40.9
2026-09-25T15:00:00,P-3,2.88,42.1
2026-09-25T15:05:00,P-3,2.89,41.0
2026-09-25T15:10:00,P-3,2.55,41.2
2026-09-25T15:15:00,P-3,2.51,40.2
2026-09-25T15:20:00,P-3,2.93,41.4
2026-09-25T15:25:00,P-3,2.78,40.0
2026-09-25T15:30:00,P-3,2.74,40.6
2026-09-25T15:35:00,P-3,2.90,42.4
2026-09-25T15:40:00,P-3,2.83,40.5
2026-09-25T15:45:00,P-3,2.62,41.0
2026-09-25T15:50:00,P-3,2.77,40.3
2026-09-25T15:55:00,P-3,2.82,40.3
2026-09-25T16:00:00,P-3,2.97,41.6
2026-09-25T16:05:00,P-3,2.96,40.7
2026-09-25T16:10:00,P-3,2.88,40.9
2026-09-25T16:15:00,P-3,2.74,40.8
2026-09-25T16:20:00,P-3,2.61,40.1
2026-09-25T16:25:00,P-3,2.92,40.9
2026-09-25T16:30:00,P-3,2.83,41.6
2026-09-25T16:35:00,P-3,2.54,40.5
2026-09-25T16:40:00,P-3,2.83,41.2
2026-09-25T16:45:00,P-3,2.74,41.6
2026-09-25T16:50:00,P-3,2.83,40.3
2026-09-25T16:55:00,P-3,2.66,41.5
2026-09-25T17:00:00,P-3,2.87,39.9
2026-09-25T17:05:00,P-3,3.00,41.4
2026-09-25T17:10:00,P-3,3.00,40.8
2026-09-25T17:15:00,P-3,2.76,40.3
2026-09-25T17:20:00,P-3,3.18,40.9
2026-09-25T17:25:00,P-3,3.04,40.6
2026-09-25T17:30:00,P-3,2.82,40.0
2026-09-25T17:35:00,P-3,2.74,41.6
2026-09-25T17:40:00,P-3,2.61,41.6
2026-09-25T17:45:00,P-3,2.85,40.4
2026-09-25T17:50:00,P-3,2.72,40.7
2026-09-25T17:55:00,P-3,2.79,40.7
2026-09-25T18:00:00,P-3,2.68,40.8
2026-09-25T18:05:00,P-3,2.65,40.2
2026-09-25T18:10:00,P-3,2.79,41.5
2026-09-25T18:15:00,P-3,2.57,41.0
2026-09-25T18:20:00,P-3,2.70,40.4
2026-09-25T18:25:00,P-3,2.93,40.7
2026-09-25T18:30:00,P-3,3.02,40.5
2026-09-25T18:35:00,P-3,2.86,40.9
2026-09-25T18:40:00,P-3,2.69,41.4
2026-09-25T18:45:00,P-3,2.78,41.4
2026-09-25T18:50:00,P-3,2.79,40.3
2026-09-25T18:55:00,P-3,2.78,41.0
2026-09-25T19:00:00,P-3,2.94,40.5
2026-09-25T19:05:00,P-3,2.79,40.0
2026-09-25T19:10:00,P-3,2.90,40.4
2026-09-25T19:15:00,P-3,2.53,41.0
2026-09-25T19:20:00,P-3,2.97,40.1
2026-09-25T19:25:00,P-3,2.64,40.6
2026-09-25T19:30:00,P-3,2.63,41.2
2026-09-25T19:35:00,P-3,2.68,40.6
2026-09-25T19:40:00,P-3,2.89,40.5
2026-09-25T19:45:00,P-3,2.86,40.4
2026-09-25T19:50:00,P-3,2.62,39.9
2026-09-25T19:55:00,P-3,3.08,40.8
2026-09-25T20:00:00,P-3,2.84,41.0
2026-09-25T20:05:00,P-3,2.82,41.0
2026-09-25T20:10:00,P-3,3.09,40.4
2026-09-25T20:15:00,P-3,2.57,40.4
2026-09-25T20:20:00,P-3,2.60,41.4
2026-09-25T20:25:00,P-3,2.92,40.4
2026-09-25T20:30:00,P-3,2.59,40.8
2026-09-25T20:35:00,P-3,3.01,39.3
2026-09-25T20:40:00,P-3,2.88,40.4
2026-09-25T20:45:00,P-3,2.96,40.4
2026-09-25T20:50:00,P-3,2.76,40.1
2026-09-25T20:55:00,P-3,2.65,41.8
2026-09-25T21:00:00,P-3,2.92,40.8
2026-09-25T21:05:00,P-3,2.67,39.9
2026-09-25T21:10:00,P-3,2.74,41.0
2026-09-25T21:15:00,P-3,2.79,40.9
2026-09-25T21:20:00,P-3,2.63,41.0
2026-09-25T21:25:00,P-3,2.79,41.8
2026-09-25T21:30:00,P-3,3.08,40.9
2026-09-25T21:35:00,P-3,2.69,41.0
2026-09-25T21:40:00,P-3,2.71,40.6
2026-09-25T21:45:00,P-3,2.79,40.4
2026-09-25T21:50:00,P-3,2.89,40.9
2026-09-25T21:55:00,P-3,2.84,40.9
2026-09-25T22:00:00,P-3,6.53,44.7
2026-09-25T22:05:00,P-3,6.62,45.0
2026-09-25T22:10:00,P-3,6.71,45.3
2026-09-25T22:15:00,P-3,6.59,45.4
2026-09-25T22:20:00,P-3,6.64,45.3
2026-09-25T22:25:00,P-3,6.79,45.0
2026-09-25T22:30:00,P-3,6.87,45.8
2026-09-25T22:35:00,P-3,6.89,45.8
2026-09-25T22:40:00,P-3,6.91,45.8
2026-09-25T22:45:00,P-3,6.96,46.0
2026-09-25T22:50:00,P-3,7.04,45.9
2026-09-25T22:55:00,P-3,7.10,46.5
2026-09-25T23:00:00,P-3,7.11,46.4
2026-09-25T23:05:00,P-3,7.22,46.2
2026-09-25T23:10:00,P-3,7.25,46.9
2026-09-25T23:15:00,P-3,7.28,47.1
2026-09-25T23:20:00,P-3,7.23,47.0
2026-09-25T23:25:00,P-3,7.40,47.3
2026-09-25T23:30:00,P-3,7.40,46.9
2026-09-25T23:35:00,P-3,7.48,47.8
2026-09-25T23:40:00,P-3,7.57,47.7
2026-09-25T23:45:00,P-3,7.36,48.0
2026-09-25T23:50:00,P-3,7.54,47.1
2026-09-25T23:55:00,P-3,7.64,47.6
